date,year,month,day,fips,county,state,lat,long,tmax,tmin
1900-03-10,1900,3,10,6055,Napa County,CA,38.5,-122.49999999965232,18.5787,6.5413
1900-03-11,1900,3,11,6055,Napa County,CA,38.5,-122.49999999965232,18.6803,6.6214
1900-03-12,1900,3,12,6055,Napa County,CA,38.5,-122.49999999965232,18.7738,6.6931
1900-03-13,1900,3,13,6055,Napa County,CA,38.5,-122.49999999965232,18.8586,6.7557
1900-03-14,1900,3,14,6055,Napa County,CA,38.5,-122.49999999965232,18.9342,6.8082
1900-03-15,1900,3,15,6055,Napa County,CA,38.5,-122.49999999965232,19,6.85
1900-03-16,1900,3,16,6055,Napa County,CA,38.5,-122.49999999965232,19.0556,6.8804
1900-03-17,1900,3,17,6055,Napa County,CA,38.5,-122.49999999965232,19.1014,6.9
1900-03-18,1900,3,18,6055,Napa County,CA,38.5,-122.49999999965232,19.1383,6.9094
1900-03-19,1900,3,19,6055,Napa County,CA,38.5,-122.49999999965232,19.1668,6.9093
1900-03-20,1900,3,20,6055,Napa County,CA,38.5,-122.49999999965232,19.1878,6.9005
1900-03-21,1900,3,21,6055,Napa County,CA,38.5,-122.49999999965232,19.202,6.8837
1900-03-22,1900,3,22,6055,Napa County,CA,38.5,-122.49999999965232,19.21,6.8596
1900-03-23,1900,3,23,6055,Napa County,CA,38.5,-122.49999999965232,19.2125,6.8288
1900-03-24,1900,3,24,6055,Napa County,CA,38.5,-122.49999999965232,19.2104,6.7922
1900-03-25,1900,3,25,6055,Napa County,CA,38.5,-122.49999999965232,19.2042,6.7503
1900-03-26,1900,3,26,6055,Napa County,CA,38.5,-122.49999999965232,19.1947,6.704
1900-03-27,1900,3,27,6055,Napa County,CA,38.5,-122.49999999965232,19.1827,6.6539
1900-03-28,1900,3,28,6055,Napa County,CA,38.5,-122.49999999965232,19.1687,6.6007
1900-03-29,1900,3,29,6055,Napa County,CA,38.5,-122.49999999965232,19.1537,6.5452
1900-03-30,1900,3,30,6055,Napa County,CA,38.5,-122.49999999965232,19.1381,6.488
1900-03-31,1900,3,31,6055,Napa County,CA,38.5,-122.49999999965232,19.1229,6.43
1900-04-01,1900,4,1,6055,Napa County,CA,38.5,-122.49999999965232,19.1086,6.3717
1900-04-02,1900,4,2,6055,Napa County,CA,38.5,-122.49999999965232,19.096,6.3138
1900-04-03,1900,4,3,6055,Napa County,CA,38.5,-122.49999999965232,19.0857,6.2572
1900-04-04,1900,4,4,6055,Napa County,CA,38.5,-122.49999999965232,19.0787,6.2025
1900-04-05,1900,4,5,6055,Napa County,CA,38.5,-122.49999999965232,19.0754,6.1504
1900-04-06,1900,4,6,6055,Napa County,CA,38.5,-122.49999999965232,19.0767,6.1017
1900-04-07,1900,4,7,6055,Napa County,CA,38.5,-122.49999999965232,19.0832,6.057
1900-04-08,1900,4,8,6055,Napa County,CA,38.5,-122.49999999965232,19.0957,6.017
1900-04-09,1900,4,9,6055,Napa County,CA,38.5,-122.49999999965232,19.1149,5.9825
1900-04-10,1900,4,10,6055,Napa County,CA,38.5,-122.49999999965232,19.1414,5.9542
1900-04-11,1900,4,11,6055,Napa County,CA,38.5,-122.49999999965232,19.1761,5.9328
1900-04-12,1900,4,12,6055,Napa County,CA,38.5,-122.49999999965232,19.2196,5.9189
1900-04-13,1900,4,13,6055,Napa County,CA,38.5,-122.49999999965232,19.2726,5.9134
1900-04-14,1900,4,14,6055,Napa County,CA,38.5,-122.49999999965232,19.3358,5.9168
1900-04-15,1900,4,15,6055,Napa County,CA,38.5,-122.49999999965232,19.41,5.93
1900-04-16,1900,4,16,6055,Napa County,CA,38.5,-122.49999999965232,19.4957,5.9534
1900-04-17,1900,4,17,6055,Napa County,CA,38.5,-122.49999999965232,19.5925,5.9868
1900-04-18,1900,4,18,6055,Napa County,CA,38.5,-122.49999999965232,19.6999,6.0298
1900-04-19,1900,4,19,6055,Napa County,CA,38.5,-122.49999999965232,19.8175,6.0818
1900-04-20,1900,4,20,6055,Napa County,CA,38.5,-122.49999999965232,19.9447,6.1425
1900-04-21,1900,4,21,6055,Napa County,CA,38.5,-122.49999999965232,20.081,6.2113
1900-04-22,1900,4,22,6055,Napa County,CA,38.5,-122.49999999965232,20.2259,6.2879
1900-04-23,1900,4,23,6055,Napa County,CA,38.5,-122.49999999965232,20.3789,6.3717
1900-04-24,1900,4,24,6055,Napa County,CA,38.5,-122.49999999965232,20.5395,6.4624
1900-04-25,1900,4,25,6055,Napa County,CA,38.5,-122.49999999965232,20.7072,6.5595
1900-04-26,1900,4,26,6055,Napa County,CA,38.5,-122.49999999965232,20.8814,6.6625
1900-04-27,1900,4,27,6055,Napa County,CA,38.5,-122.49999999965232,21.0617,6.7711
1900-04-28,1900,4,28,6055,Napa County,CA,38.5,-122.49999999965232,21.2475,6.8846
